segment_id,road_id,road_name,analysis_zone,road_width_m,lane_count,sidewalk_width_m,shoulder_width_m,observed_parking_sides,data_status,quality_confidence
SEG_001,RD001,Trần Phú,Hải Châu core,14.0,4,3.0,0.3,BOTH,SYNTHETIC_FIELD_SURVEY,0.85
SEG_002,RD002,Bạch Đằng,Hải Châu core,15.1,4,3.8,1.0,RIGHT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_003,RD003,Nguyễn Văn Linh,Hải Châu core,22.2,6,2.1,0.8,NONE,SYNTHETIC_FIELD_SURVEY,0.85
SEG_004,RD004,Lê Duẩn,Hải Châu core,15.2,4,2.5,0.8,LEFT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_005,RD005,Hùng Vương,Hải Châu core,13.5,4,2.3,0.4,RIGHT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_006,RD006,Ông Ích Khiêm,Hải Châu core,12.3,4,2.5,0.1,RIGHT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_007,RD007,Hải Phòng,Thanh Khê core,11.5,4,3.7,0.6,LEFT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_008,RD008,Quang Trung,Hải Châu core,13.0,4,2.2,0.1,RIGHT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_009,RD009,Nguyễn Chí Thanh,Hải Châu core,,4,2.9,0.3,BOTH,SYNTHETIC_FIELD_SURVEY,0.85
SEG_010,RD010,Phan Châu Trinh,Hải Châu core,11.8,4,3.6,0.9,BOTH,SYNTHETIC_FIELD_SURVEY,0.85
SEG_011,RD011,Trần Cao Vân,Thanh Khê core,10.4,4,2.9,0.4,BOTH,SYNTHETIC_FIELD_SURVEY,0.85
SEG_012,RD012,Điện Biên Phủ,Thanh Khê core,22.1,6,2.2,0.5,LEFT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_013,RD013,Hàm Nghi,Thanh Khê core,12.3,4,2.6,0.9,LEFT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_014,RD014,Hoàng Diệu,Hải Châu core,11.8,4,1.4,0.5,NONE,SYNTHETIC_FIELD_SURVEY,0.85
SEG_015,RD015,Lê Đình Lý,Thanh Khê core,12.2,4,1.6,0.9,NONE,SYNTHETIC_FIELD_SURVEY,0.85
SEG_016,RD016,Duy Tân,Hải Châu core,15.7,4,3.4,0.7,RIGHT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_017,RD017,2 Tháng 9,Hải Châu core,21.6,6,3.0,0.1,RIGHT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_018,RD018,Núi Thành,Hải Châu core,,4,2.4,0.5,NONE,SYNTHETIC_FIELD_SURVEY,0.85
SEG_019,RD019,Xô Viết Nghệ Tĩnh,Cẩm Lệ core,19.4,6,3.4,0.2,LEFT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_020,RD020,Cách Mạng Tháng 8,Cẩm Lệ core,20.3,6,1.8,0.6,RIGHT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_021,RD021,Ngô Quyền,Sơn Trà core,22.7,6,2.0,0.1,LEFT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_022,RD022,Phạm Văn Đồng,Sơn Trà core,22.0,6,1.4,0.1,BOTH,SYNTHETIC_FIELD_SURVEY,0.85
SEG_023,RD023,Võ Nguyên Giáp,Sơn Trà-Ngũ Hành Sơn coast,23.4,6,2.7,0.3,LEFT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_024,RD024,Hồ Nghinh,Sơn Trà core,12.7,4,2.8,0.6,RIGHT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_025,RD025,Nguyễn Công Trứ,Sơn Trà core,11.1,4,2.8,0.9,BOTH,SYNTHETIC_FIELD_SURVEY,0.85
SEG_026,RD026,Nguyễn Tất Thành,Thanh Khê-Liên Chiểu coast,21.8,6,3.7,0.6,BOTH,SYNTHETIC_FIELD_SURVEY,0.85
SEG_027,RD027,Tôn Đức Thắng,Liên Chiểu core,,6,1.9,0.5,LEFT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_028,RD028,Trường Chinh,Cẩm Lệ-Thanh Khê,20.0,6,3.9,0.7,LEFT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_029,RD029,Nguyễn Hữu Thọ,Cẩm Lệ core,20.2,6,2.7,1.0,RIGHT,SYNTHETIC_FIELD_SURVEY,0.85
SEG_030,RD030,Võ Chí Công,Ngũ Hành Sơn core,22.6,6,2.2,0.2,BOTH,SYNTHETIC_FIELD_SURVEY,0.85
