restriction_id,road_id,road_name,restriction_type,start_time,end_time,side,vehicle_scope,data_status,source_url
R001,RD001,Trần Phú,NO_PARKING,11:00,12:00,BOTH,ALL,REAL_REFERENCE,https://opendata.danang.gov.vn/dulieuchitiet/1480973
R002,RD001,Trần Phú,NO_PARKING,17:00,18:30,BOTH,ALL,REAL_REFERENCE,https://opendata.danang.gov.vn/dulieuchitiet/1480973
R003,,Doãn Khuê,ODD_EVEN_NO_PARKING,06:00,22:00,BOTH,ALL,REAL_REFERENCE,https://opendata.danang.gov.vn/dulieuchitiet/1480973
R004,RD007,Hải Phòng,NO_STOPPING,16:30,19:00,RIGHT,CAR_TRUCK,SYNTHETIC_PLAUSIBLE,
R005,RD008,Quang Trung,NO_PARKING,07:00,20:00,BOTH,CAR_TRUCK,SYNTHETIC_PLAUSIBLE,
R006,RD009,Nguyễn Chí Thanh,NO_PARKING,06:30,09:00,RIGHT,CAR_TRUCK,SYNTHETIC_PLAUSIBLE,
R007,RD010,Phan Châu Trinh,NO_PARKING,16:30,19:00,BOTH,CAR_TRUCK,SYNTHETIC_PLAUSIBLE,
R008,RD011,Trần Cao Vân,NO_STOPPING,07:00,20:00,RIGHT,CAR_TRUCK,SYNTHETIC_PLAUSIBLE,
R009,RD005,Hùng Vương,NO_PARKING,06:30,09:00,BOTH,CAR_TRUCK,SYNTHETIC_PLAUSIBLE,
R010,RD006,Ông Ích Khiêm,NO_PARKING,16:30,19:00,RIGHT,CAR_TRUCK,SYNTHETIC_PLAUSIBLE,
R011,RD004,Lê Duẩn,NO_PARKING,07:00,20:00,BOTH,CAR_TRUCK,SYNTHETIC_PLAUSIBLE,
R012,RD002,Bạch Đằng,NO_STOPPING,06:30,09:00,RIGHT,CAR_TRUCK,SYNTHETIC_PLAUSIBLE,
R013,RD024,Hồ Nghinh,NO_PARKING,16:30,19:00,BOTH,CAR_TRUCK,SYNTHETIC_PLAUSIBLE,
R014,RD025,Nguyễn Công Trứ,NO_PARKING,07:00,20:00,RIGHT,CAR_TRUCK,SYNTHETIC_PLAUSIBLE,
R015,RD021,Ngô Quyền,NO_PARKING,06:30,09:00,BOTH,CAR_TRUCK,SYNTHETIC_PLAUSIBLE,
R016,RD022,Phạm Văn Đồng,NO_STOPPING,16:30,19:00,RIGHT,CAR_TRUCK,SYNTHETIC_PLAUSIBLE,
R017,RD018,Núi Thành,NO_PARKING,07:00,20:00,BOTH,CAR_TRUCK,SYNTHETIC_PLAUSIBLE,
R018,RD013,Hàm Nghi,NO_PARKING,06:30,09:00,RIGHT,CAR_TRUCK,SYNTHETIC_PLAUSIBLE,
